City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Svetlyy,54.675,20.1347,30.25,93,100,14.0,RU,2022-11-20 22:47:25
1,Clifton,40.8584,-74.1638,33.84,36,0,13.8,US,2022-11-20 22:47:25
2,Sitka,57.0531,-135.33,48.09,81,100,5.75,US,2022-11-20 22:47:26
3,Busselton,-33.65,115.3333,55.58,65,0,13.53,AU,2022-11-20 22:47:26
4,Cabo San Lucas,22.8909,-109.9124,80.62,62,1,7.4,MX,2022-11-20 22:44:23
5,Lorengau,-2.0226,147.2712,84.92,63,86,9.62,PG,2022-11-20 22:46:31
6,Faanui,-16.4833,-151.75,78.39,74,61,18.23,PF,2022-11-20 22:40:37
7,Mossendjo,-2.9506,12.7261,68.23,100,100,3.04,CG,2022-11-20 22:47:26
8,Punta Arenas,-53.15,-70.9167,53.71,54,75,21.85,CL,2022-11-20 22:47:26
9,Chernyshevskiy,63.0128,112.4714,-23.13,100,77,1.61,RU,2022-11-20 22:47:27
10,Pevek,69.7008,170.3133,-19.35,97,100,11.39,RU,2022-11-20 22:40:39
11,Namtsy,62.7161,129.6658,-30.17,100,60,3.02,RU,2022-11-20 22:47:27
12,Gewane,10.1664,40.6453,74.52,46,4,1.52,ET,2022-11-20 22:47:27
13,Kapaa,22.0752,-159.319,84.18,71,75,16.11,US,2022-11-20 22:47:28
14,Severo-Kurilsk,50.6789,156.125,34.88,69,98,5.12,RU,2022-11-20 22:47:28
15,Codrington,-38.2667,141.9667,50.11,76,87,28.97,AU,2022-11-20 22:47:28
16,Mahebourg,-20.4081,57.7,72.25,83,75,5.75,MU,2022-11-20 22:47:29
17,Bambous Virieux,-20.3428,57.7575,72.21,83,75,5.75,MU,2022-11-20 22:47:29
18,Brandfort,-28.7001,26.4597,51.21,18,61,5.93,ZA,2022-11-20 22:47:29
19,Llanes,43.4198,-4.7549,55.89,80,100,11.32,ES,2022-11-20 22:47:30
20,Torbay,47.6666,-52.7314,42.76,97,100,26.46,CA,2022-11-20 22:47:30
21,Port Macquarie,-31.4333,152.9167,75.65,33,96,7.34,AU,2022-11-20 22:43:06
22,Upernavik,72.7868,-56.1549,13.66,95,100,14.16,GL,2022-11-20 22:38:10
23,Tautira,-17.7333,-149.15,76.87,71,24,12.86,PF,2022-11-20 22:40:38
24,Hermanus,-34.4187,19.2345,53.8,80,2,7.72,ZA,2022-11-20 22:47:31
25,Verkhoyansk,67.5447,133.385,-22.56,100,92,2.06,RU,2022-11-20 22:47:31
26,Port Alfred,-33.5906,26.891,60.19,92,14,8.37,ZA,2022-11-20 22:47:31
27,Nikolskoye,59.7035,30.7861,22.91,96,63,3.18,RU,2022-11-20 22:47:31
28,Atuona,-9.8,-139.0333,77.54,73,17,11.52,PF,2022-11-20 22:47:32
29,Tuktoyaktuk,69.4541,-133.0374,21.2,93,100,8.05,CA,2022-11-20 22:47:32
30,San Quintin,30.4833,-115.95,67.32,32,0,9.73,MX,2022-11-20 22:36:39
31,Olafsvik,64.8945,-23.7142,43.03,75,76,14.12,IS,2022-11-20 22:47:32
32,East London,-33.0153,27.9116,62.08,81,13,8.75,ZA,2022-11-20 22:47:33
33,Kamariotissa,40.4833,25.4667,66.31,76,99,36.98,GR,2022-11-20 22:47:33
34,Coracora,-15.0333,-73.7833,55.24,45,53,8.21,PE,2022-11-20 22:47:33
35,Udachnyy,66.4167,112.4,-27.4,99,75,3.44,RU,2022-11-20 22:42:51
36,Mataura,-46.1927,168.8643,69.96,51,89,4.09,NZ,2022-11-20 22:47:34
37,Norman Wells,65.282,-126.8329,19.44,93,75,6.91,CA,2022-11-20 22:47:34
38,Hilo,19.7297,-155.09,80.26,75,75,8.05,US,2022-11-20 22:44:35
39,Dunedin,-45.8742,170.5036,59.81,85,49,1.99,NZ,2022-11-20 22:47:34
40,Hovd,48.0056,91.6419,22.32,61,16,6.46,MN,2022-11-20 22:47:35
